age,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,games_played,minutes_played,name,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,positions,slug,steal_percentage,team,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,value_over_replacement_player,win_shares,win_shares_per_48_minutes
32,10.0,1.1,-3.6,1.5,9.6,0.2,0.265,7,140,Corey Brewer,-5.1,3.1,-0.1,10.8,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],breweco01,4.0,Team.PHILADELPHIA_76ERS,0.286,6.4,0.484,12.8,18.8,-0.1,0.1,0.044
32,10.3,1.2,-0.4,1.6,11.1,0.4,0.405,24,352,Corey Brewer,-2.0,6.3,0.5,12.0,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],breweco01,2.6,Team.SACRAMENTO_KINGS,0.405,8.6,0.562,11.2,11.5,0.1,0.8,0.115
22,9.8,1.3,-1.6,0.4,9.7,1.2,0.21,82,2417,Mikal Bridges,-2.0,2.5,1.7,10.8,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],bridgmi01,2.5,Team.PHOENIX_SUNS,0.556,6.0,0.556,10.2,12.2,0.3,2.9,0.058
20,8.1,2.5,-0.8,0.1,16.6,1.5,0.151,80,1696,Miles Bridges,-0.9,4.2,1.4,13.1,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],bridgmi02,1.6,Team.CHARLOTTE_HORNETS,0.391,10.3,0.548,8.4,15.1,0.5,2.9,0.083
22,21.0,0.3,-5.0,0.4,13.4,0.5,0.188,39,559,Isaiah Briscoe,-5.4,0.9,-0.3,6.7,[<Position.POINT_GUARD: 'POINT GUARD'>],briscis01,1.0,Team.ORLANDO_MAGIC,0.246,7.1,0.455,17.2,14.1,-0.4,0.3,0.023
28,7.2,0.8,-1.0,-0.5,12.9,0.3,0.151,42,453,Ryan Broekhoff,-0.5,1.9,0.5,10.7,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],broekry01,0.6,Team.DALLAS_MAVERICKS,0.738,7.4,0.621,10.6,14.3,0.1,0.8,0.086
26,16.2,0.6,2.2,0.1,11.7,2.3,0.203,64,1832,Malcolm Brogdon,2.0,3.8,4.2,17.8,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],brogdma01,1.2,Team.MILWAUKEE_BUCKS,0.326,8.0,0.614,10.0,20.7,1.9,6.5,0.171
23,7.6,1.1,-6.3,-1.2,7.6,0.3,0.246,18,330,Dillon Brooks,-5.0,3.0,-0.3,7.6,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],brookdi01,1.5,Team.MEMPHIS_GRIZZLIES,0.328,5.3,0.499,12.3,20.9,-0.4,0.0,-0.004
30,11.0,1.0,-3.0,-1.1,9.7,0.3,0.195,29,387,MarShon Brooks,-1.9,3.4,-0.2,11.6,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],brookma01,1.2,Team.MEMPHIS_GRIZZLIES,0.32,6.5,0.518,10.3,23.6,-0.1,0.1,0.018
22,8.8,2.1,-3.3,1.0,10.7,1.6,0.191,74,1449,Bruce Brown,-4.4,3.5,-0.1,6.9,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],brownbr01,1.4,Team.DETROIT_PISTONS,0.296,7.0,0.469,11.9,11.5,-0.5,1.5,0.048
22,7.7,1.5,-2.1,-0.4,13.9,2.4,0.255,74,1913,Jaylen Brown,-1.6,3.6,0.7,13.5,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],brownja02,1.7,Team.BOSTON_CELTICS,0.348,8.7,0.547,10.1,22.1,0.0,3.0,0.076
28,17.3,2.0,-3.5,1.9,12.9,0.3,0.042,26,212,Lorenzo Brown,-5.4,2.6,-0.5,6.3,[<Position.POINT_GUARD: 'POINT GUARD'>],brownlo01,2.7,Team.TORONTO_RAPTORS,0.394,7.9,0.38,18.1,17.9,-0.1,-0.1,-0.027
23,10.7,0.7,-1.5,0.3,14.4,1.4,0.135,58,1034,Sterling Brown,-1.8,3.0,0.7,10.9,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],brownst02,1.1,Team.MILWAUKEE_BUCKS,0.471,9.0,0.563,12.2,15.2,0.1,2.1,0.098
19,14.9,0.6,-2.7,-1.0,16.6,0.4,0.201,52,730,Troy Brown Jr.,-1.7,5.1,0.2,11.1,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],browntr01,1.4,Team.WASHINGTON_WIZARDS,0.295,10.8,0.487,10.5,16.5,-0.1,0.6,0.039
22,22.6,0.2,-1.7,-0.5,9.6,1.0,0.212,73,1591,Jalen Brunson,-1.2,1.7,1.5,12.8,[<Position.POINT_GUARD: 'POINT GUARD'>],brunsja01,1.1,Team.DALLAS_MAVERICKS,0.32,5.7,0.549,12.5,19.1,0.1,2.6,0.077
21,9.3,3.8,2.0,-0.3,25.1,1.3,0.273,72,1496,Thomas Bryant,2.3,8.1,4.3,21.0,[<Position.CENTER: 'CENTER'>],bryanth01,0.8,Team.WASHINGTON_WIZARDS,0.197,16.5,0.674,9.6,17.6,1.5,5.6,0.178
